d_angstrom,mean_energy,sd_over_seeds,mean_shot_stderr,exact_electronic,penalty_mHa
0.3,-2.2841656938230024,0.01192470158418596,0.014873244667030175,-2.3657277452546803,81.56205143167794
0.5,-2.0531912039121907,0.008440856093587527,0.012867298482015689,-2.113514215700264,60.32301178807353
0.7,-1.8492625421972224,0.0051080387160285625,0.01068293866466038,-1.8921568983349657,42.89435613774329
0.735,-1.8163306308263352,0.004707326363358744,0.01037994578876064,-1.8572750303881032,40.94439956176799
0.9,-1.6770054658995477,0.0011315512204124645,0.010104525874841208,-1.708534960593068,31.529494693520288
1.1,-1.5345999463031301,0.001841933976594923,0.009238307730972244,-1.5602631374541818,25.663191151051645
1.5,-1.331811888316025,0.001686353911788544,0.00796053322426611,-1.3509341618869746,19.12227357094953
2.0,-1.1937904153347956,0.004990480294443013,0.005782335100623402,-1.2132297190618764,19.439303727080805
2.5,-1.1253611293115853,0.004421290497954029,0.003886779724941686,-1.1477258059238895,22.364676612304237
