d_angstrom,ansatz,expressibility_mHa,optimisation_mHa,sampling_mHa,hardware_mHa,total_mHa
0.5,ucc_single,4.440892098500626e-13,0.0,4.440892098500626e-13,60.32301178807265,60.32301178807353
0.5,product,12.16352000491927,0.0,0.0,nan,12.16352000491927
0.735,ucc_single,1.1102230246251565e-12,0.0,0.0,40.94439956176687,40.94439956176799
0.735,product,20.307039061373988,0.0,-2.220446049250313e-13,nan,20.307039061373764
2.0,ucc_single,-2.220446049250313e-13,0.0,0.0,19.439303727081025,19.439303727080805
2.0,product,11.428278823293336,-4.440892098500626e-13,0.0,nan,11.428278823292892
